#《禮記·中庸》中古音及中州音
# v20190526
# author: hhliow (github.com/hhliow)
# license: cc by-nc-sa 4.0
char	middle_chinese	mandarin	reference
施	yeH	ji˨˦	【音義】【集註】
及	gip	giʔ(p)˩	
蠻	maen	man˩	
貊。	maek	məʔ(k)˩	【音義】
舟	tsyuw	tʃiw	
車	"kjo/
tsyhae"	"ky/
tʃʰiɛ"	
所	srjoX	ʂu˥˧	
至。	tsyijH	tʃɨ˨˦	
人	nyin	ʒin˩	
力	lik	liʔ(k)˩	
所	srjoX	ʂu˥˧	
通。	thuwng	tʰuŋ	
天	then	tʰiɛn	
之	tsyi	tʃɨ	
所	srjoX	ʂu˥˧	
覆。	phjuwH	fəw˨˦	
地	dijH	di˨˦	
之	tsyi	tʃɨ	
所	srjoX	ʂu˥˧	
載。	tsojH	tsai˨˦	
日	nyit	ʒiʔ(t)˩	
月	ngjwot	(ŋ)yuɛʔ(t)˩	
所	srjoX	ʂu˥˧	
照。	tsyewH	tʃiɛw˨˦	
霜	srjang	ʂwɑŋ	
露	luH	lu˨˦	
所	srjoX	ʂu˥˧	
隊。	drwijH	dʒui˨˦	【音義】【集註】
凡	bjom	fʱam˩	
有	hjuwX	jiw˥˧	
血	xwet	hyuɛʔ(t)	
氣	khj+jH	kʰi˨˦	
者。	tsyaeX	tʃiɛ˥˧	
莫	mak	mɒʔ(k)˩	
不	pjuw	puʔ(t)	
尊	tswon	tsun	
親。	tshin	tsʰin	
故	kuH	ku˨˦	
曰	hjwot	jyuɛʔ(t)˩	
配	phwojH	pʰui˨˦	
天。	then	tʰiɛn	
唯	ywij	vi˩	
天	then	tʰiɛn	
下	haeX	ɦia'˨˦	
至	tsyijH	tʃɨ˨˦	
誠。	dzyeng	tʃʱiŋ˩	
爲	hjwe	ui˩	
能	nong	nəŋ˩	
經	keng	kiŋ	
綸	lwin	lyun˩	【音義】
天	then	tʰiɛn	
下	haeX	ɦia'˨˦	
之	tsyi	tʃɨ	
大	dajH	dai˨˦	
經。	keng	kiŋ	
立	lip	liʔ(p)˩	
天	then	tʰiɛn	
下	haeX	ɦia'˨˦	
之	tsyi	tʃɨ	
大	dajH	dai˨˦	
本。	pwonX	pun˥˧	
知	trje	tʃi	
天	then	tʰiɛn	
地	dijH	di˨˦	
之	tsyi	tʃɨ	
化	xwaeH	hwa˨˦	
育。	yuwk	jyuʔ(k)˩	
夫	bju	fʱu˩	【集註】
焉	’jen	ʔiɛn	【音義】【集註】
有	hjuwX	jiw˥˧	
所	srjoX	ʂu˥˧	
倚。	"’jeX/
’jeH"	"ʔi˥˧/
ʔi˨˦"	
肫	tsywin	tʃyun	【音義】【集註】
肫	tsywin	tʃyun	【音義】【集註】
其	gi	kʱi˩	
仁。	nyin	ʒin˩	
淵	’wen	ʔyuɛn	
淵	’wen	ʔyuɛn	
其	gi	kʱi˩	
淵。	’wen	ʔyuɛn	
浩	hawX	ɦaw'˨˦	【音義】
浩	hawX	ɦaw'˨˦	【音義】
其	gi	kʱi˩	
天。	then	tʰiɛn	
茍	kuwX	kəw˥˧	
不	pjuw	puʔ(t)	
固	kuH	ku˨˦	
聰	tshuwng	tsʰuŋ	
明	mjaeng	miŋ˩	
聖	syengH	ʃiŋ˨˦	
知	trjeH	tʃi˨˦	【音義】【集註】
達	dat	daʔ(t)˩	
天	then	tʰiɛn	
德	tok	təʔ(k)	
者。	tsyaeX	tʃiɛ˥˧	
其	gi	kʱi˩	
孰	dzyuwk	ʃʱyuʔ(k)˩	
能	nong	nəŋ˩	
知	trje	tʃi	
之。	tsyi	tʃɨ	
詩	syi	ʃɨ	
曰。	hjwot	jyuɛʔ(t)˩	
衣	’j+jH	ʔi˨˦	【集註】【毛詩音義】
錦	kimX	kim˥˧	
尚	dzyangH	ʃʱiɑŋ˨˦	
絅。	khwengX	kʰyuəŋ˥˧	【音義】【集註】
惡	’uH	ʔu˨˦	【音義】【集註】
其	gi	kʱi˩	
文	mjun	vun˩	
之	tsyi	tʃɨ	
著	trjoH	tʃy˨˦	【音義】
也。	yaeX	jiɛ˥˧	
故	kuH	ku˨˦	
君	kjun	kyun	
子	tsiX	tsɨ˥˧	
之	tsyi	tʃɨ	
道。	dawX	daw'˨˦	
闇	"’omX/
’omH"	"ʔam˥˧/
ʔam˨˦"	【音義】【集註】
然	nyen	ʒiɛn˩	
而	nyi	ɻ˩	
日	nyit	ʒiʔ(t)˩	【音義】
章。	tsyang	tʃiɑŋ	
小	sjewX	siɛw˥˧	
人	nyin	ʒin˩	
之	tsyi	tʃɨ	
道。	dawX	daw'˨˦	
的	tek	tiʔ(k)	【音義】
然	nyen	ʒiɛn˩	
而	nyi	ɻ˩	
日	nyit	ʒiʔ(t)˩	【音義】
亡。	mjang	vɑŋ˩	
君	kjun	kyun	
子	tsiX	tsɨ˥˧	
之	tsyi	tʃɨ	
道。	dawX	daw'˨˦	
淡	"damH/
damX"	"dam˨˦/
dam'˨˦"	【音義】
而	nyi	ɻ˩	
不	pjuw	puʔ(t)	
厭。	’jiemH	ʔiɛm˨˦	【音義】
簡	keanX	kian˥˧	
而	nyi	ɻ˩	
文。	mjun	vun˩	
溫	’won	ʔun	
而	nyi	ɻ˩	
理。	liX	li˥˧	
知	trje	tʃi	
遠	hjwonX	jyuɛn˥˧	
之	tsyi	tʃɨ	
近。	gj+nX	gin'˨˦	
知	trje	tʃi	
風	pjuwng	fuŋ	
之	tsyi	tʃɨ	
自。	dzijH	dzɨ˨˦	
知	trje	tʃi	
微	mj+j	vi˩	
之	tsyi	tʃɨ	
顯。	xenX	hiɛn˥˧	
可	khaX	kʰɔ˥˧	
與	yoX	jy˥˧	
入	nyip	ʒiʔ(p)˩	
德	tok	təʔ(k)	
矣。	hiX	ji˥˧	
詩	syi	ʃɨ	
云。	hjun	jyun˩	
潛	dzjem	tsʱiɛm˩	
雖	swij	sui	
伏	bjuwk	fʱuʔ(k)˩	
矣。	hiX	ji˥˧	
亦	yek	jiʔ(k)˩	
孔	khuwngX	kʰuŋ˥˧	
之	tsyi	tʃɨ	
昭。	"tsyewH/
tsyew"	"tʃiɛw˨˦/
tʃiɛw˧"	【音義】
故	kuH	ku˨˦	
君	kjun	kyun	
子	tsiX	tsɨ˥˧	
内	nwojH	nui˨˦	
省	sjengX	siŋ˥˧	
不	pjuw	puʔ(t)	
疚。	kjuwH	kiw˨˦	【音義】
無	mju	vu˩	
惡	’uH	ʔu˨˦	【集註】
於	’jo	ʔy	
志。	tsyiH	tʃɨ˨˦	
君	kjun	kyun	
子	tsiX	tsɨ˥˧	
之	tsyi	tʃɨ	
所	srjoX	ʂu˥˧	
不	pjuw	puʔ(t)	
可	khaX	kʰɔ˥˧	
及	gip	giʔ(p)˩	
者。	tsyaeX	tʃiɛ˥˧	
其	gi	kʱi˩	
唯	ywij	vi˩	
人	nyin	ʒin˩	
之	tsyi	tʃɨ	
所	srjoX	ʂu˥˧	
不	pjuw	puʔ(t)	
見	kenH	kiɛn˨˦	
乎。	hu	ɦu˩	
詩	syi	ʃɨ	
云。	hjun	jyun˩	
相	sjangH	siɑŋ˨˦	【音義】【集註】
在	dzojX	dzai'˨˦	
爾	nyeX	ɻ˥˧	
室。	syit	ʃiʔ(t)	
尚	dzyangH	ʃʱiɑŋ˨˦	
不	pjuw	puʔ(t)	
愧	kwijH	kui˨˦	【音義】
于	hju	jy˩	
屋	’uwk	ʔuʔ(k)	
漏。	luwH	ləw˨˦	
故	kuH	ku˨˦	
君	kjun	kyun	
子	tsiX	tsɨ˥˧	
不	pjuw	puʔ(t)	
動	duwngX	duŋ'˨˦	
而	nyi	ɻ˩	
敬。	kjaengH	kiŋ˨˦	
不	pjuw	puʔ(t)	
言	ngjon	jiɛn˩	
而	nyi	ɻ˩	
信。	sinH	sin˨˦	
詩	syi	ʃɨ	
曰。	hjwot	jyuɛʔ(t)˩	
奏	tsuwH	tsəw˨˦	【音義】
假	"kaeX/
kaeH"	"kia˥˧/
kia˨˦"	【音義】【集註】
無	mju	vu˩	
言。	ngjon	jiɛn˩	
時	dzyi	ʃʱɨ˩	
靡	mjeX	mi˥˧	
有	hjuwX	jiw˥˧	
爭。	tsreang	ʈʂəŋ	【音義】
是	dzyeX	ʃʱɨ'˨˦	
故	kuH	ku˨˦	
君	kjun	kyun	
子	tsiX	tsɨ˥˧	
不	pjuw	puʔ(t)	
賞	syangX	ʃiɑŋ˥˧	
而	nyi	ɻ˩	
民	mjin	min˩	
勸。	khjwonH	kʰyuɛn˨˦	
不	pjuw	puʔ(t)	
怒	nuH	nu˨˦	
而	nyi	ɻ˩	
民	mjin	min˩	
威	’jw+j	ʔui	
於	’jo	ʔy	
鈇	"pju/
pjuX"	"fu˧/
fu˥˧"	【音義】【集註】
鉞。	hjwot	jyuɛʔ(t)˩	【音義】
詩	syi	ʃɨ	
曰。	hjwot	jyuɛʔ(t)˩	
不	pjuw	puʔ(t)	
顯	xenX	hiɛn˥˧	
惟	ywij	vi˩	
德。	tok	təʔ(k)	
百	paek	pəʔ(k)	
辟	pjiek	piʔ(k)	【音義】
其	gi	kʱi˩	
刑	heng	ɦiŋ˩	
之。	tsyi	tʃɨ	
是	dzyeX	ʃʱɨ'˨˦	
故	kuH	ku˨˦	
君	kjun	kyun	
子	tsiX	tsɨ˥˧	
篤	towk	tuʔ(k)	
恭	kjowng	kyuŋ	
而	nyi	ɻ˩	
天	then	tʰiɛn	
下	haeX	ɦia'˨˦	
平。	bjaeng	pʱiŋ˩	
詩	syi	ʃɨ	
云。	hjun	jyun˩	
予	yo	jy˩	
懷	hweaj	ɦwai˩	
明	mjaeng	miŋ˩	
德。	tok	təʔ(k)	
不	pjuw	puʔ(t)	
大	dajH	dai˨˦	
聲	syeng	ʃiŋ	
以	yiX	ji˥˧	
色。	srik	ʂəʔ(k)	
子	tsiX	tsɨ˥˧	
曰。	hjwot	jyuɛʔ(t)˩	
聲	syeng	ʃiŋ	
色	srik	ʂəʔ(k)	
之	tsyi	tʃɨ	
於	’jo	ʔy	
以	yiX	ji˥˧	
化	xwaeH	hwa˨˦	
民。	mjin	min˩	
末	mat	mwɔʔ(t)˩	【音義】
也。	yaeX	jiɛ˥˧	
詩	syi	ʃɨ	
云。	hjun	jyun˩	
德	tok	təʔ(k)	
輶	"yuwX/
yuw"	"jiw˥˧/
jiw˩"	【音義】【集註】
如	nyo	ʒy˩	
毛。	maw	maw˩	
毛	maw	maw˩	
猶	yuw	jiw˩	
有	hjuwX	jiw˥˧	
倫。	lwin	lyun˩	
上	dzyangH	ʃʱiɑŋ˨˦	
天	then	tʰiɛn	
之	tsyi	tʃɨ	
載。	"tsoj/
tsojH"	"tsai˧/
tsai˨˦"	【音義】
無	mju	vu˩	
聲	syeng	ʃiŋ	
無	mju	vu˩	
臭。	hjuwH	hiw˨˦	
至	tsyijH	tʃɨ˨˦	
矣。	hiX	ji˥˧	
